img_id	confidence	recall	area
biodiversity_0233	0.854827	0.887634	0.10069275
biodiversity_0234	0.818944	0.853701	0.04211044
biodiversity_0235	0.856289	0.879126	0.04992676
biodiversity_0237	0.135261	0.146789	0.00166321
biodiversity_0240	0.789353	0.814981	0.11168671
biodiversity_0242	0.861762	0.875140	0.03733444
biodiversity_0243	0.139927	0.000000	0.00002670
biodiversity_0245	0.667224	0.751603	0.02498627
biodiversity_0246	0.810232	0.840246	0.04396057
biodiversity_0247	0.829075	0.863664	0.04336929
biodiversity_0248	0.821533	0.877175	0.05217743
biodiversity_0249	0.772454	0.813895	0.04068756
biodiversity_0251	0.789440	0.846192	0.01527786
biodiversity_0252	0.792681	0.834824	0.00810623
biodiversity_0253	0.719227	0.759394	0.00680161
biodiversity_0260	0.712882	0.810919	0.00572968
biodiversity_0262	0.824373	0.853599	0.13731766
biodiversity_0264	0.688243	0.785127	0.02410889
biodiversity_0266	0.692749	0.789577	0.00775909
biodiversity_0268	0.800217	0.842122	0.01193619
biodiversity_0269	0.856175	0.901771	0.00904846
biodiversity_0271	0.762866	0.786581	0.08897781
biodiversity_0272	0.748905	0.762584	0.09571457
biodiversity_0273	0.792212	0.810295	0.11731339
biodiversity_0274	0.797273	0.827424	0.11823654
biodiversity_0278	0.827924	0.872855	0.04713440
biodiversity_0280	0.909965	0.939231	0.07011795
biodiversity_0281	0.942034	0.976072	0.03060913
biodiversity_0283	0.193476	0.164602	0.00954819
biodiversity_0284	0.228823	0.254587	0.00166321
biodiversity_0285	0.764705	0.840839	0.00745392
biodiversity_0286	0.763678	0.825486	0.00745392
biodiversity_0287	0.819864	0.862720	0.04387665
biodiversity_0291	0.518088	0.716129	0.00177383
biodiversity_0296	0.769601	0.784439	0.04956818
biodiversity_0302	0.100447	0.000000	0.00011063
biodiversity_0306	0.876168	0.900788	0.11334991
biodiversity_0307	0.730789	0.771357	0.01987076
biodiversity_0308	0.653043	0.693772	0.00440979
biodiversity_0309	0.728729	0.751802	0.15615463
biodiversity_0310	0.723439	0.742963	0.16412735
biodiversity_0312	0.837003	0.866589	0.02624893
biodiversity_0315	0.807453	0.837274	0.10277176
biodiversity_0316	0.797707	0.821589	0.08764267
biodiversity_0317	0.747016	0.769480	0.15313721
biodiversity_0318	0.671336	0.694980	0.14991379
biodiversity_0319	0.740785	0.756890	0.13384628
biodiversity_0320	0.816741	0.840118	0.20962906
